Dates,Twice vaccinated share of the population
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,0
2021-01-12,0
2021-01-13,0
2021-01-14,0
2021-01-15,0
2021-01-16,0
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,0
2021-03-03,0
2021-03-04,0
2021-03-05,0
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,0
2021-03-10,2.7636300754806596e-5
2021-03-11,3.4979660669655203e-4
2021-03-12,0.0026436095693454995
2021-03-13,0.0026436095693454995
2021-03-14,0.0026436095693454995
2021-03-15,0.006219746887017473
2021-03-16,0.00738047151871935
2021-03-17,0.01128271718529804
2021-03-18,0.014441151557275936
2021-03-19,0.020041055698792748
2021-03-20,0.020041055698792748
2021-03-21,0.020041055698792748
2021-03-22,0.02300050870533604
2021-03-23,0.02507481047913252
2021-03-24,0.02769867983365316
2021-03-25,0.029570841807643057
2021-03-26,0.03253503246574431
2021-03-27,0.03253503246574431
2021-03-28,0.03253503246574431
2021-03-29,0.051291394983735056
2021-03-30,0.07642226767297017
2021-03-31,0.09915904710824607
2021-04-01,0.12380825855575456
2021-04-02,0.1447802627856878
2021-04-03,0.1447802627856878
2021-04-04,0.1447802627856878
2021-04-05,0.18970030603255042
2021-04-06,0.23096683031962761
2021-04-07,0.28163680334067603
2021-04-08,0.3325997211497254
2021-04-09,0.3875549000049548
2021-04-10,0.3875549000049548
2021-04-11,0.3875549000049548
2021-04-12,0.4428954078535655
2021-04-13,0.474550816346714
2021-04-14,0.507261931528696
2021-04-15,0.5356744175304162
2021-04-16,0.5672516547728582
2021-04-17,0.5672516547728582
2021-04-18,0.5672516547728582
2021-04-19,0.6101329286326092
2021-04-20,0.6320816786920765
2021-04-21,0.653161069690657
2021-04-22,0.6704179654905513
2021-04-23,0.6938559173564062
2021-04-24,0.6938559173564062
2021-04-25,0.6938559173564062
2021-04-26,0.726743904863219
2021-04-27,0.7513046801483122
2021-04-28,0.7862590733429915
2021-04-29,0.7862590733429915
2021-04-30,0.8235601832760505
2021-05-01,0.8235601832760505
2021-05-02,0.8235601832760505
2021-05-03,0.8241800260215512
2021-05-04,0.8247367000796122
2021-05-05,0.8254449789875283
2021-05-06,0.8822928496401655
2021-05-07,0.925514444803497
2021-05-08,0.9315131012844761
2021-05-09,0.9379642034892409
2021-05-10,1.0141393236726037
2021-05-11,1.1107976803668362
2021-05-12,1.2300972738565923
2021-05-13,1.3695350449020796
2021-05-14,1.5217534206337753
2021-05-15,1.5488725277601705
2021-05-16,1.5678807754193267
2021-05-17,1.7786462594957837
2021-05-18,1.9543468051745418
2021-05-19,2.1519463555714093
2021-05-20,2.259994816219587
2021-05-21,2.424648737682353
2021-05-22,2.457882573752897
2021-05-23,2.479926866452117
2021-05-24,2.6410512375041972
2021-05-25,2.6907878931683262
2021-05-26,2.739543854959956
2021-05-27,2.8230504909292726
2021-05-28,2.9213464958453756
2021-05-29,2.9684198017253345
2021-05-30,3.0219560539389527
2021-05-31,3.208742704263354
2021-06-01,3.377944771221767
2021-06-02,3.5647322111547615
2021-06-03,3.7469415004655735
2021-06-04,3.9213186621424727
2021-06-05,4.024586832368661
2021-06-06,4.168961236337551
2021-06-07,4.4281226206872315
2021-06-08,4.686833928138907
2021-06-09,4.996533420874607
2021-06-10,5.306948298995558
2021-06-11,5.594908287948934
2021-06-12,5.814837969355685
2021-06-13,6.066326727007239
2021-06-14,6.497218505030103
2021-06-15,6.941276216732556
2021-06-16,7.427116856741906
2021-06-17,7.906596409926091
2021-06-18,8.365259511773163
2021-06-19,8.71888650975433
2021-06-20,9.067640043499537
2021-06-21,9.568089232087877
2021-06-22,10.095092168050028
2021-06-23,10.64916051775425
2021-06-24,11.207011882227508
2021-06-25,11.768635996558096
2021-06-26,12.238428631523425
2021-06-27,12.671266005119428
2021-06-28,13.247174138897282
2021-06-29,13.852743919470978
2021-06-30,14.44937375155479
2021-07-01,15.03084941552185
2021-07-02,15.620458047996753
2021-07-03,16.121002779224845
2021-07-04,16.56871558910427
2021-07-05,17.11394111217555
2021-07-06,17.674473987430616
2021-07-07,18.214050650627613
2021-07-08,18.752468958018685
2021-07-09,19.293362688348793
2021-07-10,19.81571640891539
2021-07-11,20.34470521048892
2021-07-12,20.916194694580383
2021-07-13,21.479132717609712
2021-07-14,22.05006000038296
2021-07-15,22.603844090993704
2021-07-16,23.150420634367595
2021-07-17,23.700124817378338
2021-07-18,24.266879808346204
2021-07-19,24.84151983072371
2021-07-20,25.439475415635158
2021-07-21,26.082734793569664
2021-07-22,26.35611071181043
2021-07-23,26.57290248866862
2021-07-24,27.244833344223352
2021-07-25,27.867918222606846
2021-07-26,28.631708983436184
2021-07-27,29.402008487897568
2021-07-28,30.19203241501196
2021-07-29,30.973643852176586
2021-07-30,31.789593787833354
2021-07-31,32.58178361131833
2021-08-01,33.1341227182039
2021-08-02,33.780102297741266
2021-08-03,34.46577392203128
2021-08-04,35.14761673425387
2021-08-05,35.84692805737928
2021-08-06,36.59149816583794
2021-08-07,37.29378236531597
2021-08-08,37.79525409703224
2021-08-09,37.96846737564306
2021-08-10,38.62720703004322
2021-08-11,39.21138868265848
2021-08-12,39.55580252757659
2021-08-13,39.81533976561653
2021-08-14,40.139592534329715
2021-08-15,40.43855729824365
2021-08-16,40.899389454895676
2021-08-17,41.453553347239655
2021-08-18,41.991662917670865
2021-08-19,42.497246930939454
2021-08-20,43.04582986974814
2021-08-21,43.61769204909549
2021-08-22,44.100433475377336
2021-08-23,44.61486426332183
2021-08-24,45.13122406505901
2021-08-25,45.633364595253546
2021-08-26,46.1092182657787
2021-08-27,46.635441858059565
2021-08-28,47.226756045095335
2021-08-29,47.72557311272196
2021-08-30,47.952302113722986
2021-08-31,48.374924320951415
2021-09-01,48.76600245449831
2021-09-02,49.16467504349263
2021-09-03,49.49677889044595
2021-09-04,49.855979735485064
2021-09-05,50.17425358793209
2021-09-06,50.505623098893935
2021-09-07,50.92334104715128
2021-09-08,51.36098792668721
2021-09-09,51.789411388248375
2021-09-10,52.27405735045652
2021-09-11,52.84607824113107
2021-09-12,53.316466240975515
2021-09-13,53.72515817340634
2021-09-14,54.16257922488468
2021-09-15,54.60120206064154
2021-09-16,55.04307650458436
2021-09-17,55.54959304560128
2021-09-18,56.123240529977394
2021-09-19,56.57246149226943
2021-09-20,56.69607866554569
2021-09-21,57.23887772141069
2021-09-22,57.756807265030744
2021-09-23,57.944655149304126
2021-09-24,58.55092926074277
2021-09-25,59.2946568568327
2021-09-26,59.87053261665826
2021-09-27,60.35668357284465
2021-09-28,60.84762508436474
2021-09-29,61.31586850727062
2021-09-30,61.789707886275046
2021-10-01,62.2954411355677
2021-10-02,62.91176143713501
2021-10-03,63.39217272845894
2021-10-04,63.81185838133002
2021-10-05,64.25016063599813
2021-10-06,64.67655243464952
2021-10-07,65.10030930942608
2021-10-08,65.62127016043465
2021-10-09,66.2705218779814
2021-10-10,66.74441731919592
2021-10-11,66.91555234798999
2021-10-12,67.26700081586307
2021-10-13,67.61254932832932
2021-10-14,67.81205815230405
2021-10-15,68.21952382258996
2021-10-16,68.73977797390778
2021-10-17,69.13205078525587
2021-10-18,69.43166144899888
2021-10-19,69.7634731407728
2021-10-20,70.09112596408742
2021-10-21,70.39874641739776
2021-10-22,70.79335647018112
2021-10-23,71.31745522573823
2021-10-24,71.71543059034494
2021-10-25,71.99554976596988
2021-10-26,72.27991703582514
2021-10-27,72.55252545451351
2021-10-28,72.81574542703119
2021-10-29,73.15186443367988
2021-10-30,73.6006945397184
2021-10-31,73.92206839550151
2021-11-01,74.14020645501077
2021-11-02,74.35670133903798
2021-11-03,74.41779572470375
2021-11-04,74.63309593092978
2021-11-05,74.8911265957743
2021-11-06,75.23719151226035
2021-11-07,75.45604574676345
2021-11-08,75.5999495440109
2021-11-09,75.73963998980615
2021-11-10,75.87633387099099
2021-11-11,75.996899207055307
2021-11-12,76.1714698228375
2021-11-13,76.40069951425254
2021-11-14,76.53958061123996
2021-11-15,76.63406043782612
2021-11-16,76.72922248623662
2021-11-17,76.8200827470325
2021-11-18,76.90405130402873
2021-11-19,77.02796694935313
2021-11-20,77.20429365464612
2021-11-21,77.30975219910928
2021-11-22,77.3651250809102
2021-11-23,77.38151577608359
2021-11-24,77.41988443683438
2021-11-25,77.47188963798618
2021-11-26,77.55903242152623
2021-11-27,77.68209607917879
2021-11-28,77.75581393742075
2021-11-29,77.80095665029084
2021-11-30,77.84976472624962
2021-12-01,77.87545858986566
2021-12-02,77.89877099396521
2021-12-03,77.94053891970884
2021-12-04,78.00102846519238
2021-12-05,78.027196093964207
2021-12-06,78.04738638568708
2021-12-07,78.0662532934081
2021-12-08,78.08490463798321
2021-12-09,78.10202019384495
2021-12-10,78.13652372053305
2021-12-11,78.18501200501164
2021-12-12,78.20453507747344
2021-12-13,78.22165537098674
2021-12-14,78.22774957010748
2021-12-15,78.24508937480962
2021-12-16,78.26092497514213
2021-12-17,78.2932886625432
2021-12-18,78.3393544278585
2021-12-19,78.35671081434111
2021-12-20,78.37158546101594
2021-12-21,78.38622480433006
2021-12-22,78.4008830982504
2021-12-23,78.4138555778247
2021-12-24,78.4393196653402
2021-12-25,78.47971840978356
2021-12-26,78.49655997146354
2021-12-27,78.50926951137639
2021-12-28,78.51924621594887
2021-12-29,78.52281682600639
2021-12-30,78.5237059252821
2021-12-31,78.52385831974054
2022-01-01,78.52387884956397
2022-01-02,78.52402492715368
