Dates,The number of new confirmed cases of COVID-19
2020-01-16,1
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,0
2020-01-28,3
2020-01-29,1
2020-01-30,4
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,2
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,1
2020-02-13,3
2020-02-14,5
2020-02-15,4
2020-02-16,1
2020-02-17,6
2020-02-18,8
2020-02-19,9
2020-02-20,8
2020-02-21,13
2020-02-22,23
2020-02-23,10
2020-02-24,16
2020-02-25,8
2020-02-26,22
2020-02-27,24
2020-02-28,19
2020-02-29,9
2020-03-01,14
2020-03-02,14
2020-03-03,22
2020-03-04,34
2020-03-05,33
2020-03-06,54
2020-03-07,44
2020-03-08,35
2020-03-09,27
2020-03-10,60
2020-03-11,52
2020-03-12,55
2020-03-13,34
2020-03-14,62
2020-03-15,29
2020-03-16,16
2020-03-17,45
2020-03-18,39
2020-03-19,39
2020-03-20,52
2020-03-21,35
2020-03-22,45
2020-03-23,39
2020-03-24,89
2020-03-25,93
2020-03-26,93
2020-03-27,96
2020-03-28,222
2020-03-29,151
2020-03-30,80
2020-03-31,227
2020-04-01,257
2020-04-02,281
2020-04-03,353
2020-04-04,365
2020-04-05,346
2020-04-06,248
2020-04-07,365
2020-04-08,522
2020-04-09,574
2020-04-10,640
2020-04-11,644
2020-04-12,486
2020-04-13,387
2020-04-14,446
2020-04-15,552
2020-04-16,558
2020-04-17,572
2020-04-18,577
2020-04-19,377
2020-04-20,346
2020-04-21,389
2020-04-22,446
2020-04-23,439
2020-04-24,444
2020-04-25,371
2020-04-26,224
2020-04-27,182
2020-04-28,279
2020-04-29,217
2020-04-30,202
2020-05-01,282
2020-05-02,288
2020-05-03,195
2020-05-04,181
2020-05-05,119
2020-05-06,104
2020-05-07,107
2020-05-08,88
2020-05-09,108
2020-05-10,66
2020-05-11,58
2020-05-12,87
2020-05-13,55
2020-05-14,99
2020-05-15,55
2020-05-16,56
2020-05-17,29
2020-05-18,30
2020-05-19,32
2020-05-20,37
2020-05-21,45
2020-05-22,30
2020-05-23,30
2020-05-24,40
2020-05-25,22
2020-05-26,27
2020-05-27,37
2020-05-28,62
2020-05-29,63
2020-05-30,46
2020-05-31,33
2020-06-01,36
2020-06-02,51
2020-06-03,26
2020-06-04,45
2020-06-05,41
2020-06-06,45
2020-06-07,32
2020-06-08,22
2020-06-09,30
2020-06-10,36
2020-06-11,40
2020-06-12,57
2020-06-13,43
2020-06-14,62
2020-06-15,60
2020-06-16,42
2020-06-17,43
2020-06-18,68
2020-06-19,54
2020-06-20,65
2020-06-21,48
2020-06-22,40
2020-06-23,53
2020-06-24,89
2020-06-25,79
2020-06-26,99
2020-06-27,88
2020-06-28,111
2020-06-29,110
2020-06-30,132
2020-07-01,125
2020-07-02,194
2020-07-03,249
2020-07-04,268
2020-07-05,195
2020-07-06,174
2020-07-07,203
2020-07-08,203
2020-07-09,352
2020-07-10,418
2020-07-11,374
2020-07-12,390
2020-07-13,246
2020-07-14,326
2020-07-15,438
2020-07-16,619
2020-07-17,588
2020-07-18,654
2020-07-19,501
2020-07-20,405
2020-07-21,618
2020-07-22,792
2020-07-23,966
2020-07-24,766
2020-07-25,796
2020-07-26,834
2020-07-27,583
2020-07-28,971
2020-07-29,1245
2020-07-30,1305
2020-07-31,1575
2020-08-01,1537
2020-08-02,1325
2020-08-03,941
2020-08-04,1240
2020-08-05,1344
2020-08-06,1479
2020-08-07,1597
2020-08-08,1521
2020-08-09,1485
2020-08-10,829
2020-08-11,691
2020-08-12,969
2020-08-13,1175
2020-08-14,1355
2020-08-15,1233
2020-08-16,1015
2020-08-17,630
2020-08-18,903
2020-08-19,1078
2020-08-20,1176
2020-08-21,1035
2020-08-22,985
2020-08-23,737
2020-08-24,491
2020-08-25,709
2020-08-26,893
2020-08-27,870
2020-08-28,869
2020-08-29,841
2020-08-30,598
2020-08-31,430
2020-09-01,624
2020-09-02,585
2020-09-03,654
2020-09-04,582
2020-09-05,598
2020-09-06,447
2020-09-07,285
2020-09-08,510
2020-09-09,507
2020-09-10,709
2020-09-11,637
2020-09-12,639
2020-09-13,438
2020-09-14,262
2020-09-15,530
2020-09-16,543
2020-09-17,478
2020-09-18,569
2020-09-19,592
2020-09-20,469
2020-09-21,306
2020-09-22,321
2020-09-23,216
2020-09-24,475
2020-09-25,567
2020-09-26,634
2020-09-27,478
2020-09-28,294
2020-09-29,527
2020-09-30,569
2020-10-01,619
2020-10-02,537
2020-10-03,562
