Dates,Meals at bars and restaurants,"Soft drink, confectionery, and fruits at bars and restaurants",Alcoholic drink at bars and restaurants,Non-packaged lodging,Domestic travel packages,"Admissions, viewing, game fees",Clothing and footwear,The other household consumption expenditures
2019-01-01,535.84,34.04,39.9,258.66,90.34,90.02,752.66,12253.490000000002
2019-01-02,854.57,35.84,103.55,231.77,38.06,133.94,1063.89,7001.839999999998
2019-01-03,679.73,30.19,58.93,236.53,154.2,117.26,772.9,5252.68
2019-01-04,497.07,22.47,60.24,193.49,65.98,108.05,580.77,6420.16
2019-01-05,580.9,32.47,89.29,118.19,17.97,108.17,719.56,5614.87
2019-01-06,424.25,26.65,44.7,57.67,124.96,73.61,563.32,5178.03
2019-01-07,218.22,8.76,21.83,37.95,74.22,59.98,285.19,4671.46
2019-01-08,185.96,9.7,35.47,38.25,19.29,42.5,315.28,4941.26
2019-01-09,200.63,15.09,33.55,34.1,48.02,51.12,295.81,4133.51
2019-01-10,232.88,12.91,45.62,65.81,44.2,69.09,401.83,4315.78
2019-01-11,260.74,13.72,84.24,46.61,16.64,45.11,305.64,4926.16
2019-01-12,483.21,15.44,91.8,152.47,83.81,71.93,523.25,5110.3
2019-01-13,627.27,31.49,86.2,82.9,24.18,144.34,489.53,5057.2
2019-01-14,430.73,26.32,34.79,125.23,21.47,77.48,512.34,4290.91
2019-01-15,207.73,9.21,28.4,4.01,24.5,28.73,216.56,5329.0999999999995
2019-01-16,192.54,14.82,43.02,4.16,90.01,52.52,263.05,5418.4000000000005
2019-01-17,201.45,12.07,46.94,49.41,67.04,27.24,211.87,4659.139999999999
2019-01-18,310.09,18.24,83.46,66.09,35.4,40.38,260.5,4997.67
2019-01-19,485.86,30.79,103.85,128.79,30.9,71.13,469.49,4943.049999999999
2019-01-20,563.67,21.97,61.6,36.95,65.09,84.76,517.29,4999.6
2019-01-21,243.13,13.01,33.46,48.71,54.59,18.96,198.63,5759.46
2019-01-22,206.16,11.35,24.23,17.2,49.92,33.74,250.58,4502.36
2019-01-23,223.43,14.64,39,12.32,24.29,45.34,218.4,3853.9700000000003
2019-01-24,188.67,13.69,41.04,31.13,52.12,43.81,247.32,4693.240000000001
2019-01-25,441.32,18.9,100.47,30.69,56.61,49.98,316.83,7120.61
2019-01-26,433.75,29.98,104.92,40.45,18.02,71.63,415,5836.42
2019-01-27,558.86,26.9,52.49,59.66,29.1,64.74,351.4,5249.27
2019-01-28,216.59,13.8,43.98,47.71,575.98,50.55,174.91,5482.6900000000005
2019-01-29,204.53,8.41,46.11,21.6,2.79,29.93,275.48,4977.719999999999
2019-01-30,216.77,15.03,42.22,5.65,10.54,64.24,197.82,4320.57
2019-01-31,227.24,13.02,43.57,28.43,141.01,38.21,226.7,4787.69
2019-02-01,278.48,19.37,71.76,62.83,80.88,51.14,259.66,6643.41
2019-02-02,541.28,21.74,92.65,110.3,82.37,86.85,358.08,5570.469999999999
2019-02-03,461.89,23.3,24.21,85.94,73.91,118.04,408.62,6505.43
2019-02-04,188.85,12.49,11.04,5.59,66.29,32.91,291.78,4085.29
2019-02-05,215.33,14.32,45.42,15.73,75.31,62.87,184.13,4478.110000000001
2019-02-06,215.97,11.79,36.16,68.47,12.32,60.65,199.8,4636.75
2019-02-07,198.34,11.92,42.64,8.04,54.47,35.08,249.85,5081.08
2019-02-08,269.97,13.68,74.82,14.77,105.18,34.38,260.73,5346.54
2019-02-09,460.85,26.97,92.46,50.23,54.01,73.2,341.05,5225.799999999999
2019-02-10,653.2,36.01,50.35,92.78,69.97,137.35,600.86,5372.370000000001
2019-02-11,457.27,14.89,28.8,101.12,20.06,96.24,485.43,5421.870000000001
2019-02-12,214.45,9.37,26.89,45.39,39.47,68.99,220.29,5691.5
2019-02-13,224.36,11.99,37.46,40.92,14.45,44.62,243.07,4683.8
2019-02-14,234.57,14.38,33.51,38.97,78.42,43.89,156.09,4274.2300000000005
2019-02-15,274.52,21.6,68.38,23.48,40.94,49.7,216.86,5420.3099999999995
2019-02-16,574.35,27.19,88.1,100.32,226.78,80.85,518.39,5639.41
2019-02-17,511.83,22.31,47.71,53,178.8,91.77,496,5056.2699999999995
2019-02-18,213.94,15.91,35.96,79.92,173.75,99.56,206.42,5296.1
2019-02-19,201.01,13.3,34.01,8.52,43.36,28.37,186.63,4192.360000000001
2019-02-20,278.85,15,40.1,29.22,84.21,72.96,194.39,5567.280000000001
2019-02-21,264.95,11.56,28.5,17.23,64.68,93.12,165.45,5938.91
2019-02-22,312.16,16.87,91.95,75.63,36.08,95.21,258.58,4712.610000000001
2019-02-23,648.68,27.53,70.38,85.47,51.57,95.26,468.62,5572.17
2019-02-24,536.79,25.95,38.53,73.62,92.36,112.71,521.82,5686.21
2019-02-25,355.21,13.02,24.55,43.24,145.31,43.9,206.26,6884.14
2019-02-26,241.66,13.41,30.5,48.83,44.1,46.3,248.49,4948.79
2019-02-27,277.54,16.98,26.3,38.62,33.92,90.68,365.55,6404.11
2019-02-28,283.66,12.81,39.22,15.42,119.39,53.24,360.31,5227.55
2019-03-01,313.35,15.27,86.09,42.29,116.54,55.82,277.26,7811.580000000001
2019-03-02,531.37,30.13,64.38,49.65,32.66,128.78,445.91,6514.54
2019-03-03,511.28,21.94,24.49,36.93,40.88,107.97,551.41,5658.240000000001
2019-03-04,206.79,14.32,29.45,50.35,138.33,58.95,288.61,4754.07
2019-03-05,237.2,17.76,39.57,28.71,58.39,63.02,235.34,4987.92
2019-03-06,244.39,19.73,31.46,23.69,70.55,69.82,261.54,4672.2699999999995
2019-03-07,222.71,11.46,23.38,71.03,51.76,49.67,312.75,4060.5699999999997
2019-03-08,330.15,15.57,90.88,52.79,61.47,44.92,288.87,4959.51
2019-03-09,607.03,29.18,101.79,74.93,39.66,137.44,668.6,5966.91
2019-03-10,619.92,26.62,25.38,96.19,79.26,81.44,721.98,6197.21
2019-03-11,213.04,13.02,30.18,56.32,123.9,63.78,327.65,4630.719999999999
2019-03-12,229.28,13.96,56.67,23.73,14.51,45.97,372.48,4661.57
2019-03-13,243.19,15.05,56.71,40.24,30,59.01,279.91,5046.35
2019-03-14,259.17,12.66,40.71,11.4,88.22,69.78,320.93,4632.18
2019-03-15,309.78,11.93,98.79,20.78,128.27,62.8,309.31,6384.75
2019-03-16,624.56,25.88,100.4,50.18,71.37,84.21,541.72,6884.66
2019-03-17,538.52,25.88,24.19,96.79,140.65,124.24,678.42,5799.65
2019-03-18,291.38,15.39,37.25,24.02,209.34,71.26,387.47,5664.360000000001
2019-03-19,253.01,17.21,50.37,55.03,94.38,51.26,266.29,4991.3099999999995
2019-03-20,387.96,17.42,80.76,51.15,93.07,86.3,348.06,6618.42
2019-03-21,550.34,31.19,53.47,53.61,93.57,107.36,656.55,6026.389999999999
2019-03-22,363.05,18.16,125.67,67.53,36.52,86.64,405.78,5944.790000000001
2019-03-23,616.17,26.72,105.02,115.58,47.81,92.36,579.21,6185.75
2019-03-24,592.67,27.71,36.85,136.94,132.72,109.1,636.15,5578.139999999999
2019-03-25,474.06,14.91,43.54,78.87,148.6,77.45,327.67,8054.3099999999995
2019-03-26,329.73,18.37,53.85,104.91,63.46,98.08,321.55,5987.21
2019-03-27,318.91,20.99,57.13,61.68,287.45,80.46,413.45,5185.79
2019-03-28,331.54,20.9,55.24,46.46,74.14,58.13,331.58,5456.39
2019-03-29,443.53,22.26,120.03,75.66,110.65,104.48,375.15,6058.57
2019-03-30,626.27,37.02,86.35,140.08,57.55,99.81,543.76,5237.44
2019-03-31,568.86,33.48,56.49,165.44,62.32,117.89,615.51,5665.29
