Dates,Food,Housing,"Fuel, light, and water charges",Furniture and household utensils,Clothing and footwear,Medical care,Transportation and communication,Education,Culture and recreation,The other household consumption expenditures
2020-01-01,1861.6,13.25,16.11,197.02,604.35,71.84,364.92,1.47,596,8698.04
2020-01-02,2987.22,15.77,21.85,564.78,1108.77,94.57,375.9,2.78,1059.93,3499.02
2020-01-03,2787.82,5.06,27.74,314.96,702.61,117.67,409.31,3.12,1039.32,2053.29
2020-01-04,2759.84,36.69,47.42,343.33,823.86,307.26,458.82,2.02,644.28,1405.96
2020-01-05,2835.04,29.14,68.47,451.65,694.42,159.72,437.58,1.98,671.09,1334.08
2020-01-06,2278.32,227.76,67.67,209.46,447.55,448.09,1906,1.78,566.6,1428.04
2020-01-07,2076.77,202.71,66.51,228.8,222.31,554.67,365.78,0.15,368.96,753.96
2020-01-08,2006.53,119.94,49.39,272.12,229.88,392.43,294.79,1.59,276.23,688.45
2020-01-09,2141.7,86.3,65.08,219.43,367.31,408.27,415.18,0.54,479.16,630.21
2020-01-10,2255.98,19.42,96.57,325.23,377.24,659.98,757.53,0.57,512.73,1143.31
2020-01-11,2848.82,56.95,83.4,296.96,475.91,561.56,607.29,0.76,736.7,1074.56
2020-01-12,2979.33,132.69,49.57,402.22,485.52,178.91,913.28,0.96,765.72,1158.63
2020-01-13,2526.49,486.3,53.36,355.61,583.84,211.78,432.37,1.16,712.93,811.68
2020-01-14,2101.66,1392.35,70.41,212.44,201.18,539.25,679.42,0.89,607.76,631.81
2020-01-15,2142.75,765.96,70.46,233.06,294.86,589.32,367.8,3.15,396.39,1582.01
2020-01-16,2298.73,157.49,83.11,249.51,293.72,569.43,583.76,0.76,505.66,1317.46
2020-01-17,2203.21,51.98,71.08,167.03,315.67,505.55,741.08,1.51,651.5,1024.14
2020-01-18,2740.95,36.58,76.34,266.51,409.23,525.69,997.36,1.51,603.79,979.83
2020-01-19,2857.35,45.05,67.66,404.18,356.53,217.36,526.29,4.01,760.33,933.77
2020-01-20,2177.84,578.26,76.59,233.18,245.46,641.39,290.27,2.19,405.78,1491.49
2020-01-21,2244.35,161.84,49.6,257.8,189.06,537.38,320.55,1.33,470.45,1669.69
2020-01-22,2090.99,212.85,71.33,181.75,188.68,745.68,374.09,1.99,332.4,1014.66
2020-01-23,2084.53,225.9,75.27,234.18,221.22,465.98,338.24,0.42,297.23,1106.36
2020-01-24,2465.79,279.94,79.23,217.94,220.36,576.98,459.09,3.58,466.92,1948.21
2020-01-25,3040.25,364.57,83.12,385.83,494.35,525.64,646.62,2.54,660.97,1613.66
2020-01-26,2909.93,9.67,57.63,494.36,389.03,208.81,510.1,1.69,653.31,816.4
2020-01-27,2112.61,299.83,61.59,324.47,221.7,531.32,1075.93,0.94,730.77,1238.95
2020-01-28,2084.89,84.74,74.74,233.3,148.36,551.19,290.2,3.34,386.97,712.74
2020-01-29,2142.09,178.23,56.12,228.5,189.16,623.74,336.83,0.57,381.27,475.28
2020-01-30,2181.67,427.82,48.22,244.74,381.21,552.61,1050.56,1.6,348.49,680.92
2020-01-31,2064.79,168.96,54.64,190.46,183.94,539.3,412.55,0.84,387.55,983.91
2020-02-01,3194.62,660.12,72.59,424.68,376.42,486.34,617.57,7.61,708.24,2397.14
2020-02-02,3043.03,58.56,86.77,413.7,377.37,196.74,496.25,2.33,727.51,995.34
2020-02-03,2731.41,46,107.48,273.16,180.25,557.16,2079.23,0.39,430.66,1228.99
2020-02-04,2170.64,93.58,86.04,224.54,231.21,531.08,1226.47,1.4,450.09,719.73
2020-02-05,2224.06,6.97,65.42,204.94,271.08,813.3,302.35,1.63,397.85,692.54
2020-02-06,2152.41,254.33,49.33,200.93,170.81,419.64,527,0.78,335.39,594.62
2020-02-07,2368.98,139.94,83.4,295.12,262.46,550.98,417.28,2.11,438.37,668.27
2020-02-08,2985.63,7.44,92.79,375.57,441.79,386.95,811.21,3.4,724.73,1037.4
2020-02-09,3064.62,29.27,65.81,360.02,422.35,181.98,560.16,0.51,547.57,786.87
2020-02-10,2310.25,236.54,62.84,240.85,209.09,666.28,315.67,11.86,481.77,1399.6
2020-02-11,2799.79,14.28,66.84,340.46,364.25,200.08,362.83,10.8,558.78,614.01
2020-02-12,2118.93,462.36,90.67,221.88,204.9,469.2,559.02,4.64,366.32,693.02
2020-02-13,2228.45,125.07,45,172.5,179.63,448.79,797.14,0.11,374.76,609.5
2020-02-14,2376.25,113.87,64.7,210.13,216.37,540.83,496.38,0.77,405.1,1738.38
2020-02-15,2742.23,19.46,54.44,422.59,365.26,495.02,454.25,1.43,572.41,1507.09
2020-02-16,2964.81,407.3,54.76,457.53,542.07,268.82,1766.36,1.65,566.44,1033.24
2020-02-17,2183.87,780.72,80.66,302.18,217.59,950.24,686.39,0.76,339.34,1115.11
2020-02-18,2311.59,69.67,65.62,248.84,188.99,565.53,324.02,1.04,379.58,822.68
2020-02-19,2221.59,94.12,48.02,283.19,268.4,466.27,1769.65,0.65,325.14,962.27
2020-02-20,2317.13,31.5,46.36,282.57,180.66,522.72,397.95,0.47,384.75,1433.23
2020-02-21,2326.45,514.59,57.47,619.41,252.29,585.67,845.55,4.95,352.06,1677.78
2020-02-22,2931.36,111.83,58.34,374.63,377.29,459.33,816.73,3.59,614.97,1545.59
2020-02-23,3145.94,22.41,40.17,549.15,347.13,190.5,1346.3,9.48,833.35,1075.55
2020-02-24,2745.8,96.5,46.52,328.11,425.14,180.81,360.12,2.49,947.19,847.05
2020-02-25,2501.17,297.32,55.96,316.68,180.92,636.3,1189.51,7.65,336.98,2379.95
2020-02-26,2151.33,175.71,96.11,330.9,160.58,588.23,691.82,2.53,283.48,918.66
2020-02-27,2314.25,123.61,86.32,308.93,182.45,587.65,1254.4,1.41,353.63,873.74
2020-02-28,2598.85,80.21,68.92,391.65,224.9,559.14,447.83,8.9,704.41,1165.62
2020-02-29,2742.51,253.33,77.33,365.77,456.43,499.48,775.72,18.15,496.8,898.39
2020-03-01,3328.78,58.27,57.34,480.38,390.73,267.96,2086.33,5.67,619.59,2263.88
2020-03-02,2324.4,198.04,32.1,283.89,178.96,668.32,368.45,6.71,321.59,1472.92
2020-03-03,2676.96,500.22,48.55,261.26,203.04,634.04,247.74,20.21,399.89,802.14
2020-03-04,2033.75,105.47,40.65,263.09,179.12,484.42,1288.87,4.92,286.61,608.01
2020-03-05,2246.1,135.15,61.45,253.39,190.75,393.02,1127.07,8.37,400.58,905.34
2020-03-06,2382.4,132.98,63.49,228.34,189.57,591.7,411.26,8.47,299.29,874.78
2020-03-07,2864.87,34.31,45.84,489.73,395.76,358.32,344.27,12.76,517.77,795.29
2020-03-08,2849.17,18.25,50.87,388.1,522.49,161.33,516.62,5.1,492.93,921.8
2020-03-09,2195.12,74.55,60.42,285.79,201.15,546.09,309.47,5.68,435.33,1075.86
2020-03-10,2199.89,108.87,28.23,287.69,191.17,463.31,423.37,12.03,474.84,1145.51
2020-03-11,2313.9,79.64,23.42,230.46,279.81,506.45,718.65,37.64,404.57,897.23
2020-03-12,2291.17,107.14,52.2,279.92,212.57,420.77,418.42,11.26,348.01,1018.17
2020-03-13,2462.23,268.29,25.61,266.49,302.19,590.46,1096.56,9.01,400.6,1042.58
2020-03-14,2633.12,274.4,42.54,275.07,455.67,321.6,962.02,6.76,465.89,952.4
2020-03-15,3031.09,403.77,49.11,438.2,508.62,169.49,681.89,3.98,595.85,1119.16
2020-03-16,2310,522.48,78.52,397.68,319.8,656.12,3019.69,23.74,666.37,1748.17
2020-03-17,2460.67,107.59,55.83,185.32,200.03,596.97,337.87,26.81,383.7,983.34
2020-03-18,2326.36,123.92,41.44,272.67,258.67,537.04,385.04,55.6,457.7,1148.98
2020-03-19,2579.43,48.49,63.08,224.38,458.79,435.98,449.53,38.27,485.46,2086.79
2020-03-20,3022.93,412.01,25.85,511.28,584.61,258.18,415.06,17.65,677.76,1420.82
2020-03-21,2938.78,166.1,34.58,400.25,539.33,340.06,584.5,11.2,624.47,912.7
2020-03-22,2850.13,49.12,25.44,404.56,569.39,194.88,1200.11,29.56,738.04,1000.55
2020-03-23,2164.66,225.93,22.85,382.89,277.26,576.44,1325.74,77.37,451.29,1226.83
2020-03-24,2322.81,604.41,39.84,252.59,271.44,433.93,544.16,74.04,364.63,1498.57
2020-03-25,2611.47,67.27,82.41,392.64,326.35,548.43,989.93,64.22,570.08,2687.09
2020-03-26,2802.07,468.08,41.12,265.29,300.25,368.79,745.53,67.61,425.05,1358.15
2020-03-27,2559.15,25.61,63.43,315.4,280.09,521.01,1732.58,21.99,437.5,1224.81
2020-03-28,2781.07,78.07,33.14,427.02,351.09,447.41,509.63,27.53,513.69,890.44
